zipcode,population,median_age,household_income
1030,11278.0,44.9,64874.0
1031,1192.0,43.2,39327.0
1032,590.0,49.3,73750.0
1033,6310.0,45.5,86951.0
1034,2323.0,46.6,82159.0
1035,5338.0,46.3,62634.0
1036,5190.0,48.7,80375.0
1037,755.0,50.3,80417.0
1038,2853.0,50.7,65887.0
1039,1194.0,54.0,74107.0
1040,40280.0,34.4,38829.0
1050,2343.0,45.7,72386.0
1053,1697.0,49.8,66528.0
1054,1972.0,48.0,86771.0
1056,21352.0,44.2,64537.0
1057,8773.0,45.5,74439.0
1060,15407.0,35.0,56128.0
1062,10867.0,43.8,73913.0
1068,1825.0,45.0,85052.0
1069,8753.0,44.0,57994.0
1070,562.0,52.7,55208.0
1071,1271.0,47.9,70938.0
1072,1542.0,46.8,75658.0
1073,6081.0,48.4,90318.0
1075,17770.0,40.8,61821.0
1077,9650.0,45.7,76576.0
1079,811.0,42.8,31778.0
1080,2452.0,33.5,51023.0
1081,1823.0,43.5,51182.0
1082,10612.0,43.2,52178.0
1083,3148.0,36.3,45954.0
1085,41479.0,39.0,63283.0
1088,433.0,53.1,61875.0
1089,28575.0,39.1,50649.0
1092,1191.0,46.8,77150.0
1093,289.0,54.1,84167.0
1094,347.0,53.7,18454.0
1095,14569.0,47.6,95679.0
1096,2564.0,44.3,73589.0
1097,78.0,19.7,31250.0
1098,1117.0,50.0,77083.0
1103,2430.0,33.3,16760.0
1104,23183.0,35.2,28590.0
1105,11576.0,30.6,16455.0
1106,15983.0,46.4,105822.0
1107,11474.0,29.1,22956.0
1108,28449.0,31.4,36890.0
1109,30139.0,27.4,35076.0
1118,14293.0,38.6,60295.0
1119,13091.0,35.4,49083.0
1128,2695.0,47.6,70078.0
1129,7220.0,41.5,60776.0
1151,9295.0,32.0,36541.0
1201,45001.0,43.4,45893.0
1220,8266.0,45.1,48422.0
1222,829.0,49.2,76944.0
1223,2247.0,52.2,72981.0
1224,176.0,49.9,36324.0
1225,3192.0,49.0,58145.0
1226,6885.0,47.2,57202.0
1229,102.0,62.8,27083.0
1230,8195.0,49.4,59702.0
1235,2666.0,47.6,60718.0
1236,1422.0,42.3,80385.0
1237,2755.0,43.3,83311.0
1238,5950.0,48.7,63109.0
1240,4592.0,58.3,54250.0
1242,429.0,32.0,56840.0
1243,381.0,56.4,76250.0
1245,870.0,54.7,66136.0
1247,15725.0,44.4,38007.0
1253,734.0,51.9,71010.0
1254,985.0,58.7,89583.0
1255,869.0,50.5,67333.0
1256,764.0,47.9,49000.0
1257,2164.0,52.6,50688.0
1258,359.0,63.0,65739.0
1259,556.0,60.2,61125.0
1260,545.0,42.9,101979.0
1262,1196.0,54.3,45500.0
1264,161.0,61.4,75417.0
1266,1380.0,56.6,68542.0
1267,7846.0,31.2,73085.0
1270,814.0,51.2,71250.0
1301,17730.0,42.6,49024.0
1330,1468.0,50.2,79118.0
1331,13205.0,43.9,51750.0
1337,2598.0,50.6,65139.0
1338,138.0,60.6,66375.0
1339,1461.0,49.4,51346.0
1340,1689.0,51.9,54063.0
1341,1716.0,50.2,89688.0
1342,1768.0,47.4,102219.0
1344,1582.0,41.6,61563.0
1346,465.0,50.1,56500.0
1347,133.0,38.9,39211.0
1349,1106.0,42.1,60493.0
1350,95.0,45.5,31750.0
1351,2312.0,46.4,81833.0
1354,1656.0,44.4,74167.0
1355,915.0,51.5,68681.0
1360,3006.0,45.7,63963.0
1364,7832.0,46.5,37911.0
1366,1202.0,50.5,65774.0
1367,686.0,42.2,50357.0
1368,1363.0,48.3,67333.0
1370,3879.0,51.4,54803.0
1373,4184.0,46.8,71174.0
1375,3673.0,27.7,53934.0
1376,5101.0,43.8,41836.0
1378,734.0,54.8,56985.0
1379,775.0,52.0,44750.0
1420,40441.0,34.6,50617.0
1430,6171.0,42.3,86219.0
1431,3196.0,45.4,89934.0
1432,7594.0,38.8,77462.0
1434,1716.0,43.0,54318.0
1436,3823.0,40.8,77083.0
1438,635.0,48.4,70028.0
1440,20334.0,39.8,46410.0
1450,11182.0,45.1,117500.0
1451,4629.0,47.6,140192.0
1452,4537.0,44.5,84803.0
1453,41336.0,40.8,56577.0
1460,9538.0,45.2,108704.0
1462,11087.0,45.7,89706.0
1463,12031.0,43.5,84980.0
1464,7433.0,43.0,68864.0
1467,560.0,51.0,131667.0
1468,3704.0,47.7,62589.0
1469,7430.0,39.3,81317.0
1473,7480.0,44.7,96953.0
1474,1939.0,46.2,98221.0
1475,10613.0,42.3,61998.0
1501,16239.0,45.7,71976.0
1503,3061.0,47.3,97614.0
1504,9068.0,41.1,75544.0
1505,4480.0,44.5,93197.0
1506,3386.0,41.5,63906.0
1507,13292.0,43.7,92227.0
1510,13759.0,39.3,60755.0
1515,2259.0,42.2,80714.0
1516,8689.0,41.5,88958.0
1518,3009.0,43.0,53664.0
1519,6548.0,42.3,114615.0
1520,14880.0,41.5,99575.0
1521,2374.0,45.1,75658.0
1522,3380.0,41.7,102602.0
1523,7811.0,38.2,97958.0
1524,6649.0,45.1,60288.0
1527,13431.0,42.8,72566.0
1529,3218.0,41.5,91250.0
1531,1106.0,48.0,81389.0
1532,14846.0,43.2,110147.0
1534,6406.0,44.3,95238.0
1535,4761.0,44.1,70873.0
1536,7557.0,41.4,94766.0
1537,2671.0,33.3,76114.0
1540,10921.0,41.2,60852.0
1541,3451.0,45.8,121500.0
1542,2366.0,47.0,94103.0
1543,8402.0,39.5,95347.0
1545,36103.0,40.8,99441.0
1550,16824.0,38.5,48762.0
1560,4504.0,36.8,80078.0
1562,11801.0,42.5,65858.0
1564,7954.0,44.9,104187.0
1566,6442.0,43.1,98000.0
1568,7532.0,40.8,115348.0
1569,13881.0,39.4,90204.0
1570,16838.0,40.7,51229.0
1571,11608.0,38.0,62567.0
1581,18706.0,40.1,106915.0
1583,7602.0,38.8,74020.0
1585,4606.0,49.1,61298.0
1588,9731.0,38.5,60429.0
1590,9184.0,44.0,99692.0
1602,23812.0,40.3,62709.0
1603,20505.0,36.3,40967.0
1604,35866.0,34.8,50426.0
1605,28696.0,31.3,35446.0
1606,19258.0,40.4,65163.0
1607,8636.0,35.4,47068.0
1608,3511.0,27.5,18843.0
1609,19982.0,30.6,42863.0
1610,23919.0,28.3,31182.0
1611,2466.0,41.3,81971.0
1612,4889.0,38.8,94135.0
1701,32061.0,44.7,100788.0
1702,38781.0,34.3,51137.0
1718,526.0,41.1,131484.0
1719,5287.0,41.6,103556.0
1720,22638.0,43.4,131413.0
1721,17420.0,42.1,103700.0
1730,14018.0,43.3,117688.0
1731,1957.0,21.6,84333.0
1740,5113.0,42.3,151023.0
1741,5125.0,49.6,167400.0
1742,19448.0,45.9,137991.0
1746,14324.0,42.5,110295.0
1747,5942.0,44.1,99792.0
1748,16257.0,41.0,143190.0
1749,19680.0,43.4,80574.0
1752,39545.0,39.6,72222.0
1754,10526.0,42.3,90134.0
1756,5963.0,44.5,121298.0
1757,28600.0,39.3,73117.0
1760,35133.0,40.9,104600.0
1770,4255.0,45.2,158250.0
1772,9486.0,42.5,147216.0
1773,4793.0,53.0,143505.0
1775,7027.0,43.6,146799.0
1776,18594.0,43.8,164013.0
1778,13697.0,45.9,157005.0
1801,39775.0,39.4,84479.0
1803,25698.0,42.5,92141.0
1810,34963.0,41.9,134627.0
1821,31780.0,40.7,100158.0
1824,25803.0,44.7,109638.0
1826,30855.0,38.6,86884.0
1827,3310.0,46.3,118984.0
1830,25882.0,39.9,57917.0
1832,23305.0,37.6,63078.0
1833,8514.0,44.3,106016.0
1834,6681.0,45.0,96512.0
1835,13153.0,38.5,71827.0
1840,5524.0,32.4,19855.0
1841,47836.0,31.8,34636.0
1843,25963.0,30.3,42707.0
1844,49057.0,38.9,72664.0
1845,29705.0,41.5,102008.0
1850,16394.0,29.6,42437.0
1851,30026.0,33.0,49583.0
1852,34332.0,36.2,50348.0
1854,29204.0,30.2,40229.0
1860,6695.0,46.4,77481.0
1862,11134.0,39.9,102330.0
1863,9103.0,43.5,80538.0
1864,15476.0,44.2,119933.0
1867,24935.0,42.1,110043.0
1876,29692.0,44.8,93016.0
1879,12133.0,40.4,99325.0
1880,26062.0,42.8,92474.0
1886,23850.0,43.2,130739.0
1887,23310.0,42.4,102301.0
1890,22491.0,42.8,149321.0
1901,1637.0,40.0,21905.0
1902,47081.0,32.0,39654.0
1904,17103.0,38.0,86477.0
1905,26209.0,32.7,55185.0
1906,27773.0,45.2,78372.0
