park_no,address,zip,park_class,park_name
549,6500 N ALGONQUIN AVE,60646,NEIGHBORHOOD PARK,Green
550,5200 W KINZIE ST,60644,LINEAR PARK,Kinzie Pkwy
551,600 E 37TH ST,60653,COMMUNITY PARK,Ellis
552,1707 N LA SALLE ST,60614,PARKWAY PARK,Eugenie Triangle
553,9501 S EGGLESTON AVE,60628,LINEAR PARK,Fernwood Pkwy
554,1607 E 73RD ST,60649,PASSIVE PARK,Hodes
555,2047 N SPAULDING AVE,60647,MINI-PARK,Maple
556,1600 W BRYN MAWR AVE,60640,MINI-PARK,Mellin
557,462 N PINE AVE,60644,COMMUNITY PARK,Levin
558,5873 N NINA AVE,60631,PARKWAY PARK,Mulberry Point
559,6113 N NEVA AVE,60631,PASSIVE PARK,Myrtle Grove
560,485 E OHIO ST,60611,PASSIVE PARK,Addams (Jane) Mem'l
561,6701 S LOWE AVE,60621,LINEAR PARK,Harris (Ryan) Mem'l
562,7117 W PETERSON AVE,60631,PASSIVE PARK,Norwood Circle
563,1300 W FARGO AVE,60626,PASSIVE PARK,Fargo Beach
564,11113 S COTTAGE GROVE AVE,60628,PASSIVE PARK,Pullman
565,6086 N NORTHWEST HWY,60631,PASSIVE PARK,Centennial
566,1031 N RUSH ST,60611,PARKWAY PARK,Mariano
567,228 E CHICAGO AVE,60611,NEIGHBORHOOD PARK,Seneca
568,901 N CLARK ST,60610,PASSIVE PARK,Washington Sq
569,1040 W ALBION AVE,60626,NEIGHBORHOOD PARK,Hartigan Beach
570,1040 W COLUMBIA AVE,60626,PASSIVE PARK,Doria Beach
571,2133 N MCVICKER AVE,60639,MINI-PARK,Aiello
572,6227 N SHERIDAN RD,60660,NEIGHBORHOOD PARK,Berger
573,1300 W HOWARD ST,60626,NEIGHBORHOOD PARK,Howard Beach
574,1234 W JARVIS AVE,60626,NEIGHBORHOOD PARK,Griffin
575,7751 N EASTLAKE TER,60626,NEIGHBORHOOD PARK,Juneway Beach
576,1040 W NORTH SHORE AVE,60626,PASSIVE PARK,North Shore Beach
577,1050 W PRATT BLVD,60626,PASSIVE PARK,Prinz Beach
578,7705 N EASTLAKE TERRACE,60626,NEIGHBORHOOD PARK,Rogers Beach
579,1000 W THORNDALE AVE,60660,PASSIVE PARK,Lane Beach
580,7700 S WALLACE ST,60620,LINEAR PARK,Lyle
581,5950 S WOODLAWN AVE,60637,LINEAR PARK,Midway Plaisance
582,1023 W WRIGHTWOOD AVE,60614,NEIGHBORHOOD PARK,Jonquil
583,5324 S WOODLAWN AVE,60615,MINI-PARK,Butternut
584,4201 S CHAMPLAIN AVE,60653,MINI-PARK,Sumac
585,5109 S GREENWOOD AVE,60615,NEIGHBORHOOD PARK,Sycamore
586,7005 S DANTE AVE,60637,MINI-PARK,Chestnut
587,631 W BELMONT AVE,60657,MINI-PARK,Evergreen
588,2210 N SOUTHPORT AVE,60614,MINI-PARK,Clover
589,3801 W 45TH ST,60632,NEIGHBORHOOD PARK,Ruiz
590,5315 N WINTHROP AVE,60640,MINI-PARK,Cedar
591,3150 S ROBINSON CT,60608,NEIGHBORHOOD PARK,Mulberry
592,3700 W 87TH ST,60652,MINI-PARK,Lee
593,9507 S OGLESBY AVE,60617,MINI-PARK,Pine
594,2731 S ELEANOR ST,60608,MINI-PARK,Jacolik
595,134 W 119th ST,60628,UNIMPROVED PARK,Park 584
596,10440-44 S CORLISS AVE,60628,MINI-PARK,Park 588
597,247 W 128TH ST,60628,NATURE PRESERVE PARK,Park 595
598,3159 S HALSTED ST,60608,UNIMPROVED PARK,Park 594
599,227 W 110TH PL,60628,UNIMPROVED PARK,Park 589
600,11600 S TORRENCE AVE,60617,NATURE PRESERVE PARK,Park 565
601,1601-3701 W BLOOMINGDALE AVE,60647,LINEAR PARK,Park 572
602,9202-35 S VANDERPOEL AVE,60643,UNIMPROVED PARK,Park 582
603,10108 S EXCHANGE AVE,60617,UNIMPROVED PARK,Park 583
604,6049 S WHIPPLE ST,60629,UNIMPROVED PARK,Park 585
605,7208 S MAPLEWOOD AVE,60629,UNIMPROVED PARK,Park 586
606,658 E 95th ST,60619,UNIMPROVED PARK,Park 587
607,3938-40 S INDIANA AVE,60653,UNIMPROVED PARK,Park 590
608,4149-53 S VINCENNES AVE,60653,UNIMPROVED PARK,Park 592
609,4546 N KEDVALE AVE,60630,UNIMPROVED PARK,Park 593
610,3906 S LAKE PARK AVE,60653,UNIMPROVED PARK,Park 591
611,4826-40 S WESTERN AVE,60632,UNIMPROVED PARK,Park 596
612,12500 S TORRENCE AVE,60633,NATURE PRESERVE PARK,Park 597
613,1514 N LARRABEE ST,60610,UNIMPROVED PARK,Park 598
